YEAR,,,DEATH,PERCENTAGE
2018,U.S. Total,,"39404",12.0
2017,U.S. Total,,"40231",12.3
2016,U.S. Total,,"40327",12.5
2015,U.S. Total,,"37757",11.5
2014,U.S. Total,,"35398",11.1
2013,U.S. Total,,"35369",11.2
2012,U.S. Total,,"36415",11.6
2011,U.S. Total,,"35303",11.3
2010,U.S. Total,,"35332",11.4
